start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month,sunset_time,hours_after_sunset,season,vigilance_score,vigilance_level,high_vigilance,avoidance_behavior,rat_presence_duration,immediate_rat_threat,vigilance_x_rat_presence,merge_date,merge_hour,total_bat_landings_hour,avg_food_availability,total_rat_minutes_hour,total_rat_arrivals_hour,high_competition,rat_activity_level
2017-12-30 18:37:00,16,rat,2017-12-30 18:35:00,2017-12-30 18:38:00,108,1,0,0,2017-12-30 16:45:00,1.870833333,0,16,high,0,0,180.0,0,48.0,2017-12-30,18,56,3.9779286925,3.283333333,1,0,low
2017-12-30 19:51:00,74,fast,2017-12-30 19:50:00,2017-12-30 19:55:00,17,0,1,0,2017-12-30 16:45:00,3.100833333,0,74,very_high,1,1,300.0,1,370.0,2017-12-30,19,72,3.297113752,5.0,1,0,low
2017-12-30 19:51:00,4,fast,2017-12-30 19:50:00,2017-12-30 19:55:00,41,0,1,0,2017-12-30 16:45:00,3.1075,0,4,medium,0,0,300.0,0,20.0,2017-12-30,19,72,3.297113752,5.0,1,0,low
2017-12-30 19:52:00,10,rat,2017-12-30 19:50:00,2017-12-30 19:55:00,111,1,0,0,2017-12-30 16:45:00,3.126944444,0,10,high,0,0,300.0,0,50.0,2017-12-30,19,72,3.297113752,5.0,1,0,low
2017-12-30 19:54:00,15,rat,2017-12-30 19:50:00,2017-12-30 19:55:00,194,1,0,0,2017-12-30 16:45:00,3.15,0,15,high,0,0,300.0,0,75.0,2017-12-30,19,72,3.297113752,5.0,1,0,low
2017-12-30 19:54:00,24,rat,2017-12-30 19:50:00,2017-12-30 19:55:00,215,1,0,0,2017-12-30 16:45:00,3.155833333,0,24,very_high,1,0,300.0,0,120.0,2017-12-30,19,72,3.297113752,5.0,1,0,low
2017-12-30 19:54:00,13,rat,2017-12-30 19:50:00,2017-12-30 19:55:00,253,1,0,0,2017-12-30 16:45:00,3.166388889,0,13,high,0,0,300.0,0,65.0,2017-12-30,19,72,3.297113752,5.0,1,0,low
2017-12-26 21:24:00,15,rat,2017-12-26 21:22:00,2017-12-26 21:27:00,88,1,0,0,2017-12-26 16:43:00,4.684444444,0,15,high,0,0,300.0,0,75.0,2017-12-26,21,100,2.3239954725,12.766666666999999,2,1,medium
2017-12-26 21:24:00,6,fast,2017-12-26 21:22:00,2017-12-26 21:27:00,113,0,1,0,2017-12-26 16:43:00,4.691388889,0,6,medium,0,0,300.0,0,30.0,2017-12-26,21,100,2.3239954725,12.766666666999999,2,1,medium
2017-12-26 21:24:00,3,fast,2017-12-26 21:22:00,2017-12-26 21:27:00,121,0,1,0,2017-12-26 16:43:00,4.693611111,0,3,medium,0,0,300.0,0,15.0,2017-12-26,21,100,2.3239954725,12.766666666999999,2,1,medium
2017-12-26 21:24:00,5,fast,2017-12-26 21:22:00,2017-12-26 21:27:00,128,0,1,0,2017-12-26 16:43:00,4.695555556,0,5,medium,0,0,300.0,0,25.0,2017-12-26,21,100,2.3239954725,12.766666666999999,2,1,medium
2017-12-26 21:25:00,6,fast,2017-12-26 21:22:00,2017-12-26 21:27:00,153,0,1,0,2017-12-26 16:43:00,4.7025,0,6,medium,0,0,300.0,0,30.0,2017-12-26,21,100,2.3239954725,12.766666666999999,2,1,medium
2017-12-26 21:26:00,10,rat,2017-12-26 21:22:00,2017-12-26 21:27:00,208,1,0,0,2017-12-26 16:43:00,4.717777778,0,10,high,0,0,300.0,0,50.0,2017-12-26,21,100,2.3239954725,12.766666666999999,2,1,medium
2017-12-26 21:26:00,1,bat,2017-12-26 21:22:00,2017-12-26 21:27:00,216,1,0,0,2017-12-26 16:43:00,4.72,0,1,low,0,0,300.0,0,5.0,2017-12-26,21,100,2.3239954725,12.766666666999999,2,1,medium
2017-12-27 01:35:00,2,rat,2017-12-27 01:34:00,2017-12-27 01:41:00,37,1,0,0,2017-12-26 16:43:00,8.8725,0,2,low,0,0,420.0,0,14.0,2017-12-27,1,29,0.0,6.7,2,0,low
2017-12-26 20:57:00,5,fast,2017-12-26 20:53:00,2017-12-26 20:58:00,199,0,0,0,2017-12-26 16:43:00,4.2375,0,5,medium,0,0,300.0,0,25.0,2017-12-26,20,83,2.9844368985000003,1.283333333,2,1,low
2017-12-26 20:57:00,1,fast,2017-12-26 20:53:00,2017-12-26 20:58:00,239,0,0,0,2017-12-26 16:43:00,4.248611111,0,1,low,0,0,300.0,0,5.0,2017-12-26,20,83,2.9844368985000003,1.283333333,2,1,low
2017-12-28 19:36:00,1,fast,2017-12-28 19:35:00,2017-12-28 19:46:00,14,0,1,0,2017-12-28 16:44:00,2.868888889,0,1,low,0,0,660.0,1,11.0,2017-12-28,19,46,3.3104131294999997,10.6,2,0,medium
2017-12-28 19:36:00,2,rat,2017-12-28 19:35:00,2017-12-28 19:46:00,40,1,0,0,2017-12-28 16:44:00,2.876111111,0,2,low,0,0,660.0,0,22.0,2017-12-28,19,46,3.3104131294999997,10.6,2,0,medium
2017-12-28 19:37:00,26,rat,2017-12-28 19:35:00,2017-12-28 19:46:00,68,1,0,0,2017-12-28 16:44:00,2.883888889,0,26,very_high,1,0,660.0,0,286.0,2017-12-28,19,46,3.3104131294999997,10.6,2,0,medium
2017-12-28 19:44:00,5,rat,2017-12-28 19:35:00,2017-12-28 19:46:00,521,1,0,0,2017-12-28 16:44:00,3.009722222,0,5,medium,0,0,660.0,0,55.0,2017-12-28,19,46,3.3104131294999997,10.6,2,0,medium
2017-12-28 19:45:00,15,rat,2017-12-28 19:35:00,2017-12-28 19:46:00,564,1,1,0,2017-12-28 16:44:00,3.021666667,0,15,high,0,0,660.0,0,165.0,2017-12-28,19,46,3.3104131294999997,10.6,2,0,medium
2017-12-28 19:46:00,24,rat,2017-12-28 19:35:00,2017-12-28 19:46:00,607,1,0,0,2017-12-28 16:44:00,3.033611111,0,24,very_high,1,0,660.0,0,264.0,2017-12-28,19,46,3.3104131294999997,10.6,2,0,medium
2017-12-28 03:58:00,2,fast,2017-12-28 03:56:00,2017-12-28 04:13:00,107,0,1,0,2017-12-27 16:43:00,11.26277778,0,2,low,0,0,1020.0000000000001,0,34.00000000000001,2017-12-28,3,26,0.985887097,16.01666667,1,0,medium
2017-12-28 04:02:00,2,fast,2017-12-28 03:56:00,2017-12-28 04:13:00,358,0,1,0,2017-12-27 16:43:00,11.3325,0,2,low,0,0,1020.0000000000001,0,34.00000000000001,2017-12-28,4,14,0.5865384615,0.883333333,1,0,low
2017-12-28 04:11:00,1,fast,2017-12-28 03:56:00,2017-12-28 04:13:00,852,0,0,0,2017-12-27 16:43:00,11.46972222,0,1,low,0,0,1020.0000000000001,0,17.000000000000004,2017-12-28,4,14,0.5865384615,0.883333333,1,0,low
2018-01-27 23:44:00,49,fast,2018-01-27 23:44:00,2018-01-27 23:50:00,12,0,1,1,2018-01-27 17:09:00,6.591111111,0,49,very_high,1,1,360.0,1,294.0,2018-01-27,23,124,2.675,6.083333333,1,1,low
2018-01-27 23:44:00,1,fast,2018-01-27 23:44:00,2018-01-27 23:50:00,14,0,1,1,2018-01-27 17:09:00,6.591666667,0,1,low,0,0,360.0,1,6.0,2018-01-27,23,124,2.675,6.083333333,1,1,low
2018-01-27 23:45:00,6,rat,2018-01-27 23:44:00,2018-01-27 23:50:00,49,1,0,1,2018-01-27 17:09:00,6.601388889,0,6,medium,0,0,360.0,0,36.0,2018-01-27,23,124,2.675,6.083333333,1,1,low
2018-01-27 23:45:00,3,fast,2018-01-27 23:44:00,2018-01-27 23:50:00,68,0,1,1,2018-01-27 17:09:00,6.606666667,0,3,medium,0,0,360.0,0,18.0,2018-01-27,23,124,2.675,6.083333333,1,1,low
2018-01-27 23:45:00,8,rat,2018-01-27 23:44:00,2018-01-27 23:50:00,84,1,0,1,2018-01-27 17:09:00,6.611111111,0,8,high,0,0,360.0,0,48.0,2018-01-27,23,124,2.675,6.083333333,1,1,low
2018-01-27 23:46:00,31,rat,2018-01-27 23:44:00,2018-01-27 23:50:00,122,1,0,1,2018-01-27 17:09:00,6.621666667,0,31,very_high,1,0,360.0,0,186.0,2018-01-27,23,124,2.675,6.083333333,1,1,low
2018-01-27 23:47:00,11,fast,2018-01-27 23:44:00,2018-01-27 23:50:00,186,0,1,1,2018-01-27 17:09:00,6.639444444,0,11,high,0,0,360.0,0,66.0,2018-01-27,23,124,2.675,6.083333333,1,1,low
2018-01-27 23:48:00,2,fast,2018-01-27 23:44:00,2018-01-27 23:50:00,231,0,1,1,2018-01-27 17:09:00,6.651944444,0,2,low,0,0,360.0,0,12.0,2018-01-27,23,124,2.675,6.083333333,1,1,low
2018-01-27 23:48:00,1,fast,2018-01-27 23:44:00,2018-01-27 23:50:00,246,0,0,1,2018-01-27 17:09:00,6.656111111,0,1,low,0,0,360.0,0,6.0,2018-01-27,23,124,2.675,6.083333333,1,1,low
2018-01-27 23:48:00,9,fast,2018-01-27 23:44:00,2018-01-27 23:50:00,253,0,1,1,2018-01-27 17:09:00,6.658055556,0,9,high,0,0,360.0,0,54.0,2018-01-27,23,124,2.675,6.083333333,1,1,low
