start_time,month,season,vigilance_score,vigilance_level,high_vigilance,avoidance_behavior,bat_landing_to_food,risk,reward,habit,seconds_after_rat_arrival,rat_presence_duration,immediate_rat_threat,hours_after_sunset,avg_food_availability,total_rat_minutes_hour,total_rat_arrivals_hour,total_bat_landings_hour,rat_activity_level,high_competition,vigilance_x_rat_presence
2017-12-30 18:37:00,0,0,16,high,0,0,16,1,0,rat,108,180.0,0,1.870833333,3.9779286925,3.283333333,1,56,low,0,48.0
2017-12-30 19:51:00,0,0,74,very_high,1,1,74,0,1,fast,17,300.0,1,3.100833333,3.297113752,5.0,1,72,low,0,370.0
2017-12-30 19:51:00,0,0,4,medium,0,0,4,0,1,fast,41,300.0,0,3.1075,3.297113752,5.0,1,72,low,0,20.0
2017-12-30 19:52:00,0,0,10,high,0,0,10,1,0,rat,111,300.0,0,3.126944444,3.297113752,5.0,1,72,low,0,50.0
2017-12-30 19:54:00,0,0,15,high,0,0,15,1,0,rat,194,300.0,0,3.15,3.297113752,5.0,1,72,low,0,75.0
2017-12-30 19:54:00,0,0,24,very_high,1,0,24,1,0,rat,215,300.0,0,3.155833333,3.297113752,5.0,1,72,low,0,120.0
2017-12-30 19:54:00,0,0,13,high,0,0,13,1,0,rat,253,300.0,0,3.166388889,3.297113752,5.0,1,72,low,0,65.0
2017-12-26 21:24:00,0,0,15,high,0,0,15,1,0,rat,88,300.0,0,4.684444444,2.3239954725,12.766666666999999,2,100,medium,1,75.0
2017-12-26 21:24:00,0,0,6,medium,0,0,6,0,1,fast,113,300.0,0,4.691388889,2.3239954725,12.766666666999999,2,100,medium,1,30.0
2017-12-26 21:24:00,0,0,3,medium,0,0,3,0,1,fast,121,300.0,0,4.693611111,2.3239954725,12.766666666999999,2,100,medium,1,15.0
2017-12-26 21:24:00,0,0,5,medium,0,0,5,0,1,fast,128,300.0,0,4.695555556,2.3239954725,12.766666666999999,2,100,medium,1,25.0
2017-12-26 21:25:00,0,0,6,medium,0,0,6,0,1,fast,153,300.0,0,4.7025,2.3239954725,12.766666666999999,2,100,medium,1,30.0
2017-12-26 21:26:00,0,0,10,high,0,0,10,1,0,rat,208,300.0,0,4.717777778,2.3239954725,12.766666666999999,2,100,medium,1,50.0
2017-12-26 21:26:00,0,0,1,low,0,0,1,1,0,bat,216,300.0,0,4.72,2.3239954725,12.766666666999999,2,100,medium,1,5.0
2017-12-27 01:35:00,0,0,2,low,0,0,2,1,0,rat,37,420.0,0,8.8725,0.0,6.7,2,29,low,0,14.0
2017-12-26 20:57:00,0,0,5,medium,0,0,5,0,0,fast,199,300.0,0,4.2375,2.9844368985000003,1.283333333,2,83,low,1,25.0
2017-12-26 20:57:00,0,0,1,low,0,0,1,0,0,fast,239,300.0,0,4.248611111,2.9844368985000003,1.283333333,2,83,low,1,5.0
2017-12-28 19:36:00,0,0,1,low,0,0,1,0,1,fast,14,660.0,1,2.868888889,3.3104131294999997,10.6,2,46,medium,0,11.0
2017-12-28 19:36:00,0,0,2,low,0,0,2,1,0,rat,40,660.0,0,2.876111111,3.3104131294999997,10.6,2,46,medium,0,22.0
2017-12-28 19:37:00,0,0,26,very_high,1,0,26,1,0,rat,68,660.0,0,2.883888889,3.3104131294999997,10.6,2,46,medium,0,286.0
2017-12-28 19:44:00,0,0,5,medium,0,0,5,1,0,rat,521,660.0,0,3.009722222,3.3104131294999997,10.6,2,46,medium,0,55.0
2017-12-28 19:45:00,0,0,15,high,0,0,15,1,1,rat,564,660.0,0,3.021666667,3.3104131294999997,10.6,2,46,medium,0,165.0
2017-12-28 19:46:00,0,0,24,very_high,1,0,24,1,0,rat,607,660.0,0,3.033611111,3.3104131294999997,10.6,2,46,medium,0,264.0
2017-12-28 03:58:00,0,0,2,low,0,0,2,0,1,fast,107,1020.0000000000001,0,11.26277778,0.985887097,16.01666667,1,26,medium,0,34.00000000000001
2017-12-28 04:02:00,0,0,2,low,0,0,2,0,1,fast,358,1020.0000000000001,0,11.3325,0.5865384615,0.883333333,1,14,low,0,34.00000000000001
2017-12-28 04:11:00,0,0,1,low,0,0,1,0,0,fast,852,1020.0000000000001,0,11.46972222,0.5865384615,0.883333333,1,14,low,0,17.000000000000004
2018-01-27 23:44:00,1,0,49,very_high,1,1,49,0,1,fast,12,360.0,1,6.591111111,2.675,6.083333333,1,124,low,1,294.0
2018-01-27 23:44:00,1,0,1,low,0,0,1,0,1,fast,14,360.0,1,6.591666667,2.675,6.083333333,1,124,low,1,6.0
2018-01-27 23:45:00,1,0,6,medium,0,0,6,1,0,rat,49,360.0,0,6.601388889,2.675,6.083333333,1,124,low,1,36.0
2018-01-27 23:45:00,1,0,3,medium,0,0,3,0,1,fast,68,360.0,0,6.606666667,2.675,6.083333333,1,124,low,1,18.0
2018-01-27 23:45:00,1,0,8,high,0,0,8,1,0,rat,84,360.0,0,6.611111111,2.675,6.083333333,1,124,low,1,48.0
2018-01-27 23:46:00,1,0,31,very_high,1,0,31,1,0,rat,122,360.0,0,6.621666667,2.675,6.083333333,1,124,low,1,186.0
2018-01-27 23:47:00,1,0,11,high,0,0,11,0,1,fast,186,360.0,0,6.639444444,2.675,6.083333333,1,124,low,1,66.0
2018-01-27 23:48:00,1,0,2,low,0,0,2,0,1,fast,231,360.0,0,6.651944444,2.675,6.083333333,1,124,low,1,12.0
2018-01-27 23:48:00,1,0,1,low,0,0,1,0,0,fast,246,360.0,0,6.656111111,2.675,6.083333333,1,124,low,1,6.0
2018-01-27 23:48:00,1,0,9,high,0,0,9,0,1,fast,253,360.0,0,6.658055556,2.675,6.083333333,1,124,low,1,54.0
2018-01-27 23:50:00,1,0,6,medium,0,0,6,0,1,fast,355,360.0,0,6.686388889,2.675,6.083333333,1,124,low,1,36.0
2018-01-28 04:20:00,1,0,11,high,0,0,11,0,1,fast,742,720.0,0,11.1975,1.0,11.98333333,1,12,medium,0,132.0
2018-01-01 01:52:00,1,0,2,low,0,0,2,0,1,fast,115,300.0,0,9.108333333,1.96344086,4.933333333,1,49,low,0,10.0
2018-01-31 19:44:00,1,0,3,medium,0,0,3,1,0,rat,195,240.00000000000003,0,2.522777778,3.4285714284999997,4.1333333329999995,2,141,low,1,12.000000000000004
2018-01-31 22:23:00,1,0,1,low,0,0,1,0,1,fast,168,240.00000000000003,0,5.168333333,1.9793759915,4.466666667,1,158,low,1,4.000000000000001
2018-01-10 23:34:00,1,0,4,medium,0,0,4,0,0,fast,113,120.00000000000001,0,6.673888889,1.9319892475,3.1333333329999995,3,104,low,1,8.000000000000002
2018-01-10 04:12:00,1,0,1,low,0,0,1,1,0,rat,306,480.00000000000006,0,11.32222222,2.190860215,0.0,0,34,none,0,8.000000000000002
2018-01-28 19:56:00,1,0,1,low,0,0,1,0,1,fast,9,840.0,1,2.770833333,3.985215054,13.9,1,93,medium,1,14.0
2018-01-28 20:03:00,1,0,1,low,0,0,1,1,0,rat,456,840.0,0,2.895,3.3481182795,0.533333333,1,112,low,1,14.0
2018-01-28 20:04:00,1,0,35,very_high,1,0,35,1,0,rat,528,840.0,0,2.915,3.3481182795,0.533333333,1,112,low,1,490.0
2018-01-28 20:05:00,1,0,1,low,0,0,1,1,0,rat,534,840.0,0,2.916666667,3.3481182795,0.533333333,1,112,low,1,14.0
